question,answer
What is Foot Rot or Gummosis?,"A citrus disease that appears as yellowing of leaves, cracking of bark, and profuse gumming on the surface."
What are the main symptoms of Foot Rot or Gummosis?,"Yellowing of leaves, cracking of bark, and profuse gumming on the surface."
How is Foot Rot or Gummosis usually spread?,Through infected planting material.
What is the best way to prevent Foot Rot or Gummosis?,"By selecting a proper site with adequate drainage, using resistant rootstocks, and avoiding contact of water with the tree trunk."
How can Foot Rot or Gummosis be controlled?,"By scraping out the diseased portions with a sharp knife, disinfecting the cut surface, and painting 1 m of the stem above the ground level with Bordeaux."
What are some effective fungicides for controlling Foot Rot or Gummosis?,"Mercuric chloride, Potassium permanganate, Ridomil MZ 72, and Aliette."
What is Ganoderma Root-Rot?,"A fungal disease that appears as whitish strands on the surface of the bark of the roots, which later turn dark."
How does Ganoderma Root-Rot spread?,The fungus spreads from the lateral roots to the main trunk.
What are the symptoms of Ganoderma Root-Rot?,"Affected tissues become light, swollen, and spongy due to water accumulation."
How can Ganoderma Root-Rot be controlled?,"By removing dead or decaying old stumps, treating the basal portion of the stakes with a fungicide, and digging a trench around the infected tree."
What is Dry Root Rot?,"A fungal disease that causes moist decay of the bark in early stages and dry shredded condition of the bark with hard, dead wood underneath in later stages."
What are the symptoms of Dry Root Rot?,"Moist decay of the bark, dry shredded condition of the bark, and bad odour from the affected roots."
How can Dry Root Rot be controlled?,"By cutting off and destroying the diseased roots, painting the cut surface with Bordeaux paste, and applying Aureofungin solution and Vitavax."
What is the best way to prevent Dry Root Rot?,By selecting disease-free planting material and maintaining good orchard hygiene.
Can Foot Rot or Gummosis be cured?,"No, it is a chronic disease that leads to the death of the tree."
Can Ganoderma Root-Rot be cured?,"No, it is a chronic disease that leads to the death of the tree."
Can Dry Root Rot be cured?,"No, it is a chronic disease that leads to the death of the tree."
How can farmers prevent the spread of these diseases?,"By maintaining good orchard hygiene, selecting disease-free planting material, and using fungicides."
What are some common symptoms of fungal diseases in citrus trees?,"Yellowing of leaves, cracking of bark, profuse gumming, moist decay of the bark, dry shredded condition of the bark, and bad odour from the affected roots."
What are some common methods of controlling fungal diseases in citrus trees?,"Scrape-out and disinfecting the diseased portions, painting with Bordeaux, and applying fungicides."
What is the importance of proper irrigation in controlling fungal diseases?,It helps to prevent the spread of the disease by avoiding contact of water with the tree trunk.
What is the importance of selecting resistant rootstocks in controlling fungal diseases?,It helps to prevent the spread of the disease by reducing the susceptibility of the tree to the disease.
What is the importance of removing dead or decaying old stumps in controlling fungal diseases?,It helps to prevent the spread of the disease by removing the source of infection.
